listing_id,id,date,reviewer_id,reviewer_name,comments
11498523,64741601,2016-03-07,29868930,Petra,Ricardo was very nice and flexible with the check in time which was super appreciated due to hitting lot of traffic on the way to Boston. Place was clean and bed very comfy! Would recommend to anyone who's coming to explore Boston! 
11498523,65999787,2016-03-18,61264824,Ryan,"While we didn't get to meet, Ricardo was excellent, making sure everything was ready to go upon arrival.  He was readily accessible by phone if anything was needed.  The room was great for my short term need.  Ricardo was also accommodating with late check in, which was great.  The area was convenient to the Blue Line, just a short walk away."
11498523,67625673,2016-03-30,30705310,Daisy,"Although I didn't get to meet Ricardo during my stay, he was quick to respond and instructions to check in were very clear. There are french doors and a curtain that separate the room next door, that being said the walls are thin and you can hear conversations from the other room. My boyfriend and I didn't mind it, but other people may want to know. There was no body wash or shampoo even thought the listing says essentials. I didn't really mind since I brought my own anyways. The listing says private/entire home but I believe we shared the bathroom with other guests as well. Bed was very comfy! Studio was clean! Near the blue line & neighborhood was quiet. Would recommend!"
11498523,68481477,2016-04-05,57302343,Miki,"Ricardo was a great host. He prepared everything before arrival, and always answer call/text quickly. The apt is clean and simple, and it seemed linens in guest room looked pretty new. Even though there were some problems at the house, he tried the best to solve. The area is nice and quiet, only a few minutes walk from T station. "
11498523,69113136,2016-04-09,35949251,Laurent-Philippe,"Ricardo seems to be a nice guy.

However, the description stated it was the whole studio and it was only a room. Kitchen and bathroom are shared.

I had several allergies and I am sorry to say the studio was not clean. 

Furthermore, the separation between rooms is only a simple door with windows (fortunately with a curtain) and you can hear everything that other co-locators say or do. I did not had any good night to sleep.

I am sorry, but although the location is ok and close to the metro, I can not recommend this studio in any way."
11498523,70013390,2016-04-15,45919117,Nina,"Ricardo is a really nice guy and a super host!  :) He answers quickly through (SENSITIVE CONTENTS HIDDEN) and is very often in the hostel, so he can help immediately. 
He did his job very well.
The kitchen was the best equipped ever, there's everything that sb needs to cook. 
The location is awesome! Just 3 mim to subway and 10 to downtown.
 
Thank you Ricardo!  ;)"
11498523,70553591,2016-04-18,21571308,Peter,Host was great with communication. Location was great and accommodations were perfectly adequate. Awesome location if you're trying to access Boston metro or have quick access to/from the airport.
11498523,72869396,2016-05-05,40435015,Rosy,"The neighborhood was nice, the downtown area of Boston is all of 5 mins away. Ricardo was very welcoming and always responded quickly to any messages sent. The room was nice and clean, as was the shared bathroom and kitchen area. You could here all the fellow roommates but we didn't find it bothersome. All in all a great place!"
11498523,73817399,2016-05-10,10982982,Erick,"I rented this room for a cousin who was meeting up with us for a couple of days while we stayed there for almost 2 weeks. This room actually had a huge closet so if you need to hang your clothes, this would be the room I would pick."
11498523,74144614,2016-05-13,14527228,Jonas,"Very close to the airport, good public transport connection, supermarket (Shaw's) not too far and of course great view.
On the other hand it's not fancy and quite small, the walls are thin as mentioned everywhere and in that particular room the covered glass door to the next room has about an inch room to the ground, which makes thin walls obsolete. But since everyone was respectful during our stay, that's not a real issue.
Haven't met Ricardo, but he was very helpful via messages!"
11498523,74908585,2016-05-17,41319485,Channy,The listing is just as it is described! Clean and cozy and comfortably located. Riccardo is also very prompt with his responses.
11498523,76036531,2016-05-24,61147593,Troy,"Had a great experience with Richardo, was very friendly and quick to email back.  Would recommend this listing for anyone who is looking to travel to Boston. "
11498523,76541519,2016-05-28,37318164,Stefan,Small but cosy room with excellent connection to downtown Boston. I would definitely recommend it. :-)
11498523,77463587,2016-06-01,56387424,Steven,Nice Stay. Nice neighborhood. Ricardo always kept the place clean. Very close to trains and beautiful ocean view. 
11498523,77680403,2016-06-02,47119865,Karina,"The place was great. Super easy to find and very clean and comfortable. Great host, great place. Will use again!"
11498523,78098124,2016-06-05,13219332,Shannon,"Ricardo's place was just what we needed for three people for a few nights. He was very helpful with booking as we needed two rooms for two different lengths of stay. His place isn't fancy but it was clean and it was great that we had access to the fridge because we purchased a lot of beer that needed to be kept cold to bring back with us. We saw a few other people during our stay but most of the other guests kept to themselves. Self check-in was a breeze and when we ran into Ricardo cleaning he was friendly and asked how we were doing. 
We didn't use the T at all, we just used Uber and no trip was really expensive ($15 or less) into Boston/Seaport area where we had an event. "
11498523,78728337,2016-06-08,41721549,Binita,Location is great. Very clean rooms.
11498523,79345433,2016-06-12,74504364,Shruti,"Listing description is accurate.
Kitchen and restrooms are shared.
There are 2 restrooms.
Location is very convenient. Very close, I think 0.2 miles ie 4-5 minutes walk from Blue line T station (Maverick).
Close to the airport and financial and seaport districts. Nice residential neighborhood, off street parking."
11498523,80250715,2016-06-17,76103589,Nicolas,The apartment is as described. The location is very convenient. We appreciated our short stay. 
11498523,86288244,2016-07-15,26681461,Nathan,"Check in was super easy, Ricardo sends you all the information you need. The building is near a subway station, which makes it easy to reach from the airport and to get to the city. 

The room / hostel has all you need to stay a few days in Boston. It was clean, although the building is quite old and could use a renovation in some areas, especially the bathroom on the second floor.

All in all you get a good and uncomplicated accomodation for the price."
11498523,86917347,2016-07-18,38966911,Grant,It was great! Hostel is close to the Maverick station and it's definitely a livable place 
11498523,88969159,2016-07-26,18430418,Ollie,Ricardo's flat was really great. Perfect location (I recommend Eddy C's for a late night drink...) and really good and simple communication. We had such a good time in Boston and would definitely recommend his place. 
11498523,89430596,2016-07-28,48818431,Landon,Everything was exactly as advertised.
11498523,90204166,2016-07-31,57236985,Carolina,"Todo estuvo bien las fotos concordaban con el lugar, indico la direccion exacta y siempre estuvo en constante comunicacion cuando lo necesitabamos."
11498523,91022641,2016-08-03,45037814,Markus," I love my short we can get away in Boston.
 I was minutes away from public transportation and at night I had a great  waterfront view of the city.

 My host  provided me detailed instructions about checking in and checking out and there was also a car service if I  elected to use it."
11498523,91243771,2016-08-04,85313331,Paolo,"Room was quite large, with space enough for a couple of suitcases.
Bed was not 100% clean, same for the bathroom on our floor. Bigger One on the second floor was a Little better.
House is only a few minutes walking from Maverick underground stop.
Neighborhood was quite calm, even if some noise originated from a close house under construction."
11498523,91472875,2016-08-05,67131316,Yu Jia,The room is great! It's near the airport  and the subway! It's really a wise choice to live here.
