listing_id,id,date,reviewer_id,reviewer_name,comments
14406532,123771249,2016-12-30,108534155,Barbara,"Ronda is a great host. She knows the city, gave great recommendations for food, easy directions to follow and the place was clean and nice."
14406532,124783676,2017-01-02,56609651,Dee,Spacious and comfortable! Close to great restaurants and sights. Ronda was a wonderful host and had great suggestions for places to go see and eat.
14406532,125223408,2017-01-04,22380519,Marci,"My Airbnb experience was fantastic.  Our host name is Ronda and she is so warm and welcoming. We really enjoyed spending time with her.  She provided several beverages and snacks as well as dog treats. There is a mini fridge, a microwave & a coffee maker.  It really felt like home.  She also provided us recommendations of places to see and things to do in the area.  I was thankful for everything she did.  It had everything you could possible need.  I loved having a private entrance into the suite. It was a great neighborhood and convenient to everything. I will recommend this Airbnb to everyone I know.  Thank you Ronda!"
14406532,130330423,2017-02-05,45158105,Meghan,Ronda was a wonderful hostess!!! She was incredibly friendly and communicative! Her place was cozy and beautiful! Ronda supplied us with everything we could have needed and a wonderful experience 
14406532,136097770,2017-03-08,7917113,Michael,Ronda is a fantastic host who is very responsive. I highly recommend the stay. 
14406532,137117801,2017-03-13,27476375,Pete,"Very comfortable place to stay. Ronda is a very friendly, helpful host. We will definitely be returning."
14406532,138397701,2017-03-19,14719992,Yoni,"Ronda is a very warm host. We enjoyed meeting her and appreciated the extra care for our dogs staying with us.
The space was great!
If we travel to Boston again, we will reach out to Ronda."
14406532,138597670,2017-03-20,19578580,Jenna,Ronda is warm and welcoming. She had a note for my dog and one for me on how to make the most of our stay. A great fenced in backyard and private off the main street. 
14406532,139114553,2017-03-23,95913771,Amanda,"As a frequent traveler for both business & fun, I love to have a variety of travel options. Since staying in hotels can get boring, airbnb allows me to feel like I'm home, while away from home. I really enjoyed the private entrance, the directions and parking info were very clear, and I really appreciated being able to bring my kitten on this overnight trip. The bedroom is quiet and comfortable, the living room has a large desk if you need to work, and the wifi was fast! The kitchen-area has both a large microwave and small fridge which is great when you live on shakes and take out salads like me. The snacks, coffee, creamer, water, etc. were a welcome treat as well. If you have trouble with stairs (I don't!) then keep in mind that this is a lower level entrance so you will need to walk up/down stairs to enter/exit. There was plenty of room in the bathroom, even a washer/dryer (which I never need when I travel, but is a nice addition!). "
14406532,139828606,2017-03-26,120830546,Michael,excellent!!
